Time_sec,OpenLoop_Speed_Omega,ClosedLoop_Speed_Omega,Valve_Position_Xv
0.0,1.0,1.0,1.0
0.10101010101010101,1.0,1.0,1.0
0.20202020202020202,1.0,1.0,1.0
0.30303030303030304,1.0,1.0,1.0
0.40404040404040403,1.0,1.0,1.0
0.5050505050505051,0.9992433799728155,0.7013117862066409,1.0010080631475198
0.6060606060606061,0.9845053822388419,0.7365846220842138,1.02033713413175
0.7070707070707071,0.9704932437610574,0.785238215825729,1.03816570277106
0.8080808080808081,0.9571712153373448,0.8416618971889717,1.0546102520194907
0.9090909090909091,0.9445053084450041,0.9005713974080236,1.0697782223403276
1.0101010101010102,0.9324632085257532,0.9573374207066967,1.0837687136683736
1.1111111111111112,0.9210141925415197,1.008215263872241,1.0966731328793762
1.2121212121212122,0.9101290505906807,1.0504745813591585,1.108575790996856
1.3131313131313131,0.8997800113847715,1.082435717847724,1.1195544540381817
1.4141414141414141,0.889940671395531,1.1034247370665489,1.1296808510988483
1.5151515151515151,0.8805859274915185,1.113663209758952,1.139021142994527
1.6161616161616161,0.8716919128924343,1.1141109816896657,1.147636354522756
1.7171717171717171,0.8632359362777464,1.1062806495661979,1.155582773168459
1.8181818181818181,0.855196423894271,1.0920415527288463,1.16291231685823
1.9191919191919191,0.8475528645150046,1.0734290327731058,1.1696728731661108
2.0202020202020203,0.8402857571087822,1.0524718489529397,1.175908612187055
2.121212121212121,0.8333765610872501,1.0310472978765186,1.181660275122249
2.2222222222222223,0.8268076490022186,1.010770086780143,1.1869654404617491
2.323232323232323,0.8205622615727122,0.9929176274613546,1.1918587695035503
2.4242424242424243,0.8146244649269758,0.9783913775704763,1.1963722328131763
2.525252525252525,0.8089791099503506,0.9677113221473109,1.200535319103372
2.6262626262626263,0.8036117936353008,0.9610387633635266,1.2043752278986104
2.727272727272727,0.7985088223349875,0.9582213127703838,1.2079170472431844
2.8282828282828283,0.7936571768266346,0.9588533468057846,1.2111839176139485
2.929292929292929,0.7890444790955546,0.9623451374529951,1.214197183108623
3.0303030303030303,0.7846589607550909,0.9679943170271746,1.2169765308974585
3.131313131313131,0.7804894330219044,0.9750541686868675,1.2195401198493638
3.2323232323232323,0.776525258170005,0.9827943317083709,1.2219046991728768
3.3333333333333335,0.7727563223906946,0.9905507521037955,1.224085717847118
3.4343434343434343,0.7691730099891847,0.9977629827736517,1.2260974255576982
3.5353535353535355,0.7657661788520503,1.0039981463976702,1.2279529657970387
3.6363636363636362,0.7625271371229344,1.0089619419171194,1.2296644617373802
3.7373737373737375,0.7594476210269948,1.012497947261918,1.2312430954375293
3.8383838383838382,0.7565197737875151,1.0145771151236203,1.2326991809008399
3.9393939393939394,0.7537361255808922,1.01527976466003,1.2340422314617547
4.040404040404041,0.7510895744788573,1.0147725483932575,1.2352810219411765
4.141414141414141,0.7485733683293094,1.0132828437886603,1.2364236459767608
4.242424242424242,0.7461810875295342,1.0110728177457728,1.2374775689026976
4.343434343434343,0.7439066286478555,1.0084150810263104,1.2384496765244728
4.444444444444445,0.7417441888519365,1.0055714328145118,1.2393463201072792
4.545454545454545,0.7396882511039994,1.0027757366419443,1.2401733578720067
4.646464646464646,0.7377335700851937,1.0002215074713745,1.2409361932699303
4.747474747474747,0.7358751588132022,0.9980543594017887,1.2416398102861579
